product_type,brand,product,rating,review_count,url,image_url,price,description
toner,Crystallure,Dual Refining Treatment Solution,4.6,115,https://reviews.femaledaily.com/products/cleanser/toner/crystallure/dual-refining-treatment-solution-2,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1678857414_packshot_c_800x800.jpg,Rp. 285.000,"Crystallure Dual Refining Treatment Solution merupakan toner dual-phase unik yang mengeksfoliasi kulit dengan lembut dan memberikan hidrasi yang intens, telah teruji secara dermatologis memberikan kulit yang tampak lebih halus, cerah, dan tanda-tanda penuaan tersamarkan. Fresh-watery layer nya terdiri dari bahan aktif PHA yang berfungsi sebagai exfoliator lembut tanpa menyebabkan iritasi di wajah untuk mangangkat sel kulit mati, sedangkan oil layer terdiri dari Meadowfoam Lipidic Essence yang tinggi akan sifat menghidrasi dan mampu mengunci hidrasi di dalam kulit. Dengan penambahan 3% Encapsulated Ferulic Acid yang kaya akan antioksidan dan Gold Peptide Crystals, membantu memudarkan tampilan garis halus, kulit lebih kencang, dan kenyal. How to use:1. Bersihkan wajah menggunakan cleansing foam/face wash2. Kocok produk hingga 2 layer (oil dan fresh watery essence) tercampur merata3. Tuangkan beberapa tetes produk ke telapak tangan atau kapas, lalu usapkan ke wajah. Tepuk-tepuk pelan hingga meresap sempurna, tidak perlu digosok4. Dapat digunakan di pagi dan malam hari. Suitable for:Semua jenis kulitIngredients:-"
toner,OASEA,Squalane Barrier Hydra Toner,4.4,114,https://reviews.femaledaily.com/products/cleanser/toner/oasea/squalane-barrier-hydra-toner-1,https://image.femaledaily.com/dyn/210/images/prod-pics/26c176bd9705916d44d958bca9b61eaf.jpg,Rp. 199.000,"Squalane Barrier Hydra Toner merupakan toner wajah sehari-hari yang berfungsi untuk menghidrasi kulit wajah dan merawat skin barrier. Toner ini diformulasikan dengan menggunakan hero ingredients yaitu Squalane, Niacinamide, dan Multibiotics. Multibiotics ini terdiri dari Dermabiotik sebagai Probiotik, Inulin sebagai Prebiotik dan C-Pep Elastyl sebagai Postbiotik. Kombinasi hero ingredients dan bahan aktif lainnya membuat toner ini berfungsi untuk mengurangi dark spots, menjaga elastisitas kulit, mengurangi minyak berlebih dan mengurangi tanda-tanda penuaan dini. Sehingga step penggunaan Squalane Barrier Hydra Toner ini penting karena berperan sebagai fondasi agar kulit wajah siap untuk menerima skincare lainnya dan manfaatnya lebih maksimalKombinasi Squalane Barrier Hydra Toner dan Oceanus Squalane + Tranexamic Spot Correcting Face Oil Serum efektif sebagai brightening booster untuk kulit wajah. Sehingga dapat membantu mencerahkan wajah secara optimal. Sedangkan, kombinasi Squalane Barrier Hydra Toner dan Oceanus Squalane + Salicylic Acne Control Face Oil Serum dapat mengurangi sensitivitas terhadap kulit akibat bahan yang berfungsi sebagai eksfoliator. Sehingga, dapat mengurangi rasa cekit-cekit yang ditimbulkan Acne Control Face Oil Serum untuk kulit sensitif."
toner,Glowinc Potion,GENTLE+ Soothing Essence Toner,3.8,114,https://reviews.femaledaily.com/products/cleanser/toner/glowinc-potion/gentle-soothing-essence-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1629783080_32_Gentle__800x800.jpg,Rp. 89.000,"Glowinc Potion GENTLE+ Soothing Essence Toner merupakan toner wajah yang lembut untuk tahapan perawatan kulit sehari-hari. Membantu menenangkan kulit, menjaga barrier kulit, & membantu mengurangi kemerahan kulit. Diformulasikan dengan Propolis, Triple Ceramide, Turmeric & Aloe Water.How to use:Gunakan toner langsung ke tangan atau kapas. Oleskan ke seluruh wajahSuitable for:Kulit sensitifIngredients:Aloe Barbadensis Leaf Water, Propylene Glycol, Glycerin, Polyglyceryl-4 Caprate, Phenoxyethanol, Curcuma Longa (Rhyzome) Extract, Tocopheryl Acetate, Chamomilla Recutita Flower Extract, 1,2-Hexanediol, Butylene Glycol, Ethylhexylglycerin, Sodium Lauroyl Lactylate, Pentylene Glycol, Methyl Diisopropyl Propionamide, Ceramide NP, Ceramide AP, Phytosphingosine, Cholesterol, Xanthan Gum, Carbomer, Propolis Extract, Ceramide EOP"
toner,Bloomka,Calendula + Vitamin B3 Whitening Facial Toner,3.9,114,https://reviews.femaledaily.com/products/cleanser/toner/bloomka/calendulavitamin-b3-whitening-facial-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1638427043_0000008284_800x800.jpg,Rp. 88.000,"Bloomka Calendula + Vitamin B3 Whitening Facial Toner merupakan toner bebas alkohol dengan petal bunga calendula asli yang mengandung calendula flower extract dan vitamin b3 yang berfungsi untuk menyegarkan sekaligus mencerahkan kulit wajah.How to use:Tuangkan secukupnya pada telapak tangan atau kapas, aplikasikan ke seluruh wajah dan leher setelah membersihkan wajah.Suitable for:Kulit kering, Kulit sensitifIngredients:-"
toner,Safi,Age Defy Skin Refiner,3.7,113,https://reviews.femaledaily.com/products/cleanser/toner/safi/age-defy-skin-refiner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1597144280_age_skin_r_800x800.jpg,Rp. 45.000,There's no description for this product.
toner,Shinzui,Whitessentials Brightening Essence Toner,5,113,https://reviews.femaledaily.com/products/cleanser/toner/shinzui/whitessentials-brightening-essence-toner,https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1738303089814-e393989a-fb9a-4df6-9307-f8de5dabaf1b,Rp. 120.000,"Shinzui Whitessentials Brightening Essence Toner merupakan toner dengan formula 7 Japanese Skinessential mencerahkan dan meratakan kulit wajah, menghidrasi dengan menambahkan kadar air pada kulit. Dapat menyeimbangkan PH kulit dan memaksimalkan efektivitas rangakain skin care yang akan di pakai selanjutnya serta mempertahankan elastisitas kulit wajah. How to use: 1. Tuangkan produk secukupnya ke telapak tangan atau langsung ke wajah dan leher. 2. Ratakan pada wajah dan leher dengan cara menepuk-nepuk lembut. 3. Biarkan selama 7 detik agar produk meresap sempurna. Suitable for: Semua jenis kulit. Ingredients: -"
toner,Sebamed,Clear Face Cleansing Facial Toner,3,111,https://reviews.femaledaily.com/products/cleanser/toner/sebamed/clear-face-facial-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/1478062743_lg.jpg,Rp. 140.000,"Sebamed Clear Face Cleansing Facial Toner merupakan toner yang cocok digunakan untuk kulit berminyak karena dapat mengangkat minyak dan sisa kotoran hingga ke dalam pori-pori. Mengandung ekstrak Ketimun dan protein sutra yang akan menjaga kelembapan kulit, Panthenol yang dapat membantu menyembuhkan bekas jerawat, serta Allantoin dan Lactic Acid yang dapat menjadikan kulit lebih halus dan lembut.How to Use:Aplikasikan pada wajah secara merata setelah mencuci wajah,Suitable for:Kulit berminyakIngredients:Witch Hazel, Panthenol, Hydrolyzed Silk, Cucumber Extract"
toner,L'Indka,Acne Series Toner,4.9,111,https://reviews.femaledaily.com/products/cleanser/toner/l-indka/acne-series-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1618377459_Acne_Serie_800x800.png,Rp. 95.000,"L'Indka Acne Series Toner merupakan penyegar wajah untuk jenis kulit berminyak dan berjerawat. Toner ini mengandung Salicylic Acid dan Lactic Acid yang berguna untuk membantu proses pengelupasan kulit mati dan membersihkan pori-pori dari komedo. Selain itu, toner ini mengandung Chlorophyll, Portulaca Sp. Extract, dan Chamommila Recutita Extract yang berguna untuk mengurangi jumlah bakteri penyebab jerawat serta mengurangi inflamasi kulit akibat timbulnya jerawat. How to use:Tuang toner pada kapas. Usapkan pada wajah yang telah dibersihkan.Suitable for:Kulit berjerawat, Kulit berminyakIngredients:Aqua, Alcohol, Lactic Acid, Phenoxyethanol, Dmdm Hydantoin, PEG-50 Hydrogented Castor Oil, Matricaria (Chammomilla Recutita) Extract, Salicylic Acid, Clorophyll, Portulaca sp. Extract, Fragrance (Parfum) Components and Finished Fragrances."
toner,Kiehl's,Blue Astringent Herbal Lotion,3.4,110,https://reviews.femaledaily.com/products/cleanser/toner/kiehl-s/blue-astringent-herbal-lotion,https://image.femaledaily.com/dyn/210/images/prod-pics/1441871654_lg.jpg,Rp. 460.000,
toner,Kaley,Peach Perfect Hyaluronic Toner,4.2,109,https://reviews.femaledaily.com/products/cleanser/toner/kaley/peach-perfect-hyaluronic-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1634694721268.jpg,Rp. 159.000,"Key Ingredients:3% Hyper Hyaluronic Matrix (4 types HA, PGA, Iceplant)5% Niacinamide PC2% Centella AsiaticaSweet PeachPrickly pearBee VenomCeramide"
toner,Somethinc,Calm Down! PHA 3% Soothing Everyday Toner,4.4,109,https://reviews.femaledaily.com/products/cleanser/toner/somethinc/calm-down-pha-3-soothing-everyday-toner,https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1716952649687-,Rp. 99.000,"Somethinc Calm Down! PHA 3% Everyday Toner merupakan non-drying gentle exfoliating toner dengan kandungan 3% PHA yang berfungsi untuk mengangkat kotoran & sel kulit mati penyebab kusam sekaligus menenangkan kulit dengan kandungan 55% Green Plants Skin Purifying & Calming yang terdiri dari Pure Mugwort Extract, Heartleaf Extract, dan Aloe Vera Extract bantu samarkan bekas jerawat PIE, menghaluskan, sekaligus menghidrasi kulit. Cocok untuk kulit kering, sensitif, berjerawat, & cenderung mudah kemerahan.How to use:Bersihkan wajah dan keringkan. Tuangkan toner ke kapas, usap secara lembut ke seluruh area wajah & leher. Lanjutkan step penggunaan serum dan akhiri dengan moisturizer. Dapat digunakan setiap hari (siang & malam)Suitable for:Kulit kering, sensitif, berjerawatIngredients:Artemisia Vulgaris Extract, Water, Aloe Barbadensis Leaf Extract, Methylpropanediol, Houttuynia Cordata Extract, Lactobionic Acid, 1,2-Hexanediol, Glycerin, Butylene Glycol, Pentylene Glycol, Propanediol, Panthenol, Sodium Citrate, Allantoin, Ethylhexylglycerin, Citric Acid, Xanthan Gum, Sodium Phytate, Tocopherol"
